datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2018.04.01,00:00:00,23.59,Arnulf,155,21,176,3.6,9,0.9,95,1.3
2018.04.02,00:00:00,23.59,Arnulf,483,32,515,1.9,16.5,0,73,10
2018.04.03,00:00:00,23.59,Arnulf,1272,105,1377,10,22.6,0,100,8
2018.04.04,00:00:00,23.59,Arnulf,1452,108,1560,8.8,23.3,0,85,9.6
2018.04.05,00:00:00,23.59,Arnulf,1079,92,1171,6,15.5,2.3,65,6.9
2018.04.06,00:00:00,23.59,Arnulf,1274,100,1374,2.6,14.5,0,48,12.6
2018.04.07,00:00:00,23.59,Arnulf,970,46,1016,3.4,20.6,0,0,12.8
2018.04.08,00:00:00,23.59,Arnulf,991,60,1051,4.6,22,0,8,12.1
2018.04.09,00:00:00,23.59,Arnulf,1734,114,1848,8.5,24,0,91,4.9
2018.04.10,00:00:00,23.59,Arnulf,1712,101,1813,9.7,19.3,0.3,91,4.6
2018.04.11,00:00:00,23.59,Arnulf,1717,112,1829,9,19.5,0,73,10.8
2018.04.12,00:00:00,23.59,Arnulf,1805,111,1916,12.2,24.4,0,86,6.9
2018.04.13,00:00:00,23.59,Arnulf,1498,102,1600,8.2,19.2,0,93,7.8
2018.04.14,00:00:00,23.59,Arnulf,1148,46,1194,6.6,20.3,0,66,11.5
2018.04.15,00:00:00,23.59,Arnulf,975,65,1040,7.7,19.2,0.9,98,3.4
2018.04.16,00:00:00,23.59,Arnulf,830,72,902,11.5,14.8,2.5,96,0.2
2018.04.17,00:00:00,23.59,Arnulf,1846,123,1969,9.3,20.6,0,31,10.3
2018.04.18,00:00:00,23.59,Arnulf,2051,120,2171,7.1,22.5,0,11,13.1
2018.04.19,00:00:00,23.59,Arnulf,2116,142,2258,8.3,24.6,0,34,13.1
2018.04.20,00:00:00,23.59,Arnulf,2053,133,2186,8.7,27.7,0,75,13.3
2018.04.21,00:00:00,23.59,Arnulf,1332,76,1408,10.5,27.2,0,60,13.1
2018.04.22,00:00:00,23.59,Arnulf,1206,67,1273,10.9,27.6,0,50,12
2018.04.23,00:00:00,23.59,Arnulf,1620,115,1735,13.3,25,0.2,96,5.3
2018.04.24,00:00:00,23.59,Arnulf,1975,122,2097,12.5,22.8,0,91,10.2
2018.04.25,00:00:00,23.59,Arnulf,2132,114,2246,11.9,24.6,1,68,10.7
2018.04.26,00:00:00,23.59,Arnulf,1284,109,1393,7.4,13.4,0.1,95,1
2018.04.27,00:00:00,23.59,Arnulf,1820,125,1945,5.3,22,0,75,13.1
2018.04.28,00:00:00,23.59,Arnulf,1303,64,1367,9.5,24.1,0,26,13.3
2018.04.29,00:00:00,23.59,Arnulf,1150,69,1219,10.6,27.8,0,69,12.2
2018.04.30,00:00:00,23.59,Arnulf,1234,77,1311,9.3,19.7,1.5,86,5.4
2018.04.01,00:00:00,23.59,Kreuther,4,16,20,3.6,9,0.9,95,1.3
2018.04.02,00:00:00,23.59,Kreuther,61,116,177,1.9,16.5,0,73,10
2018.04.03,00:00:00,23.59,Kreuther,96,162,258,10,22.6,0,100,8
2018.04.04,00:00:00,23.59,Kreuther,137,185,322,8.8,23.3,0,85,9.6
2018.04.05,00:00:00,23.59,Kreuther,84,129,213,6,15.5,2.3,65,6.9
2018.04.06,00:00:00,23.59,Kreuther,92,163,255,2.6,14.5,0,48,12.6
2018.04.07,00:00:00,23.59,Kreuther,77,175,252,3.4,20.6,0,0,12.8
2018.04.08,00:00:00,23.59,Kreuther,113,217,330,4.6,22,0,8,12.1
2018.04.09,00:00:00,23.59,Kreuther,153,262,415,8.5,24,0,91,4.9
2018.04.10,00:00:00,23.59,Kreuther,158,246,404,9.7,19.3,0.3,91,4.6
2018.04.11,00:00:00,23.59,Kreuther,171,272,443,9,19.5,0,73,10.8
2018.04.12,00:00:00,23.59,Kreuther,171,273,444,12.2,24.4,0,86,6.9
2018.04.13,00:00:00,23.59,Kreuther,150,226,376,8.2,19.2,0,93,7.8
2018.04.14,00:00:00,23.59,Kreuther,95,201,296,6.6,20.3,0,66,11.5
2018.04.15,00:00:00,23.59,Kreuther,74,150,224,7.7,19.2,0.9,98,3.4
2018.04.16,00:00:00,23.59,Kreuther,80,107,187,11.5,14.8,2.5,96,0.2
2018.04.17,00:00:00,23.59,Kreuther,156,276,432,9.3,20.6,0,31,10.3
2018.04.18,00:00:00,23.59,Kreuther,205,306,511,7.1,22.5,0,11,13.1
2018.04.19,00:00:00,23.59,Kreuther,190,298,488,8.3,24.6,0,34,13.1
2018.04.20,00:00:00,23.59,Kreuther,208,329,537,8.7,27.7,0,75,13.3
2018.04.21,00:00:00,23.59,Kreuther,118,224,342,10.5,27.2,0,60,13.1
2018.04.22,00:00:00,23.59,Kreuther,185,262,447,10.9,27.6,0,50,12
2018.04.23,00:00:00,23.59,Kreuther,166,237,403,13.3,25,0.2,96,5.3
2018.04.24,00:00:00,23.59,Kreuther,188,288,476,12.5,22.8,0,91,10.2
2018.04.25,00:00:00,23.59,Kreuther,177,272,449,11.9,24.6,1,68,10.7
2018.04.26,00:00:00,23.59,Kreuther,118,184,302,7.4,13.4,0.1,95,1
2018.04.27,00:00:00,23.59,Kreuther,165,269,434,5.3,22,0,75,13.1
2018.04.28,00:00:00,23.59,Kreuther,104,175,279,9.5,24.1,0,26,13.3
2018.04.29,00:00:00,23.59,Kreuther,142,250,392,10.6,27.8,0,69,12.2
2018.04.30,00:00:00,23.59,Kreuther,105,174,279,9.3,19.7,1.5,86,5.4
2018.04.01,00:00:00,23.59,Olympia,207,166,373,3.6,9,0.9,95,1.3
2018.04.02,00:00:00,23.59,Olympia,858,729,1587,1.9,16.5,0,73,10
2018.04.03,00:00:00,23.59,Olympia,828,805,1633,10,22.6,0,100,8
2018.04.04,00:00:00,23.59,Olympia,1054,1012,2066,8.8,23.3,0,85,9.6
2018.04.05,00:00:00,23.59,Olympia,704,641,1345,6,15.5,2.3,65,6.9
2018.04.06,00:00:00,23.59,Olympia,944,925,1869,2.6,14.5,0,48,12.6
2018.04.07,00:00:00,23.59,Olympia,1059,960,2019,3.4,20.6,0,0,12.8
2018.04.08,00:00:00,23.59,Olympia,1308,1212,2520,4.6,22,0,8,12.1
2018.04.09,00:00:00,23.59,Olympia,1256,1166,2422,8.5,24,0,91,4.9
2018.04.10,00:00:00,23.59,Olympia,1311,1214,2525,9.7,19.3,0.3,91,4.6
2018.04.11,00:00:00,23.59,Olympia,1542,1492,3034,9,19.5,0,73,10.8
2018.04.12,00:00:00,23.59,Olympia,1372,1345,2717,12.2,24.4,0,86,6.9
2018.04.13,00:00:00,23.59,Olympia,1226,1185,2411,8.2,19.2,0,93,7.8
2018.04.14,00:00:00,23.59,Olympia,1456,1328,2784,6.6,20.3,0,66,11.5
2018.04.15,00:00:00,23.59,Olympia,1065,949,2014,7.7,19.2,0.9,98,3.4
2018.04.16,00:00:00,23.59,Olympia,599,575,1174,11.5,14.8,2.5,96,0.2
2018.04.17,00:00:00,23.59,Olympia,1470,1404,2874,9.3,20.6,0,31,10.3
2018.04.18,00:00:00,23.59,Olympia,1692,1642,3334,7.1,22.5,0,11,13.1
2018.04.19,00:00:00,23.59,Olympia,1637,1601,3238,8.3,24.6,0,34,13.1
2018.04.20,00:00:00,23.59,Olympia,1520,1525,3045,8.7,27.7,0,75,13.3
2018.04.21,00:00:00,23.59,Olympia,1510,1431,2941,10.5,27.2,0,60,13.1
2018.04.22,00:00:00,23.59,Olympia,1927,2210,4137,10.9,27.6,0,50,12
2018.04.23,00:00:00,23.59,Olympia,1156,1104,2260,13.3,25,0.2,96,5.3
2018.04.24,00:00:00,23.59,Olympia,1577,1556,3133,12.5,22.8,0,91,10.2
2018.04.25,00:00:00,23.59,Olympia,1536,1480,3016,11.9,24.6,1,68,10.7
2018.04.26,00:00:00,23.59,Olympia,1092,1026,2118,7.4,13.4,0.1,95,1
2018.04.27,00:00:00,23.59,Olympia,1446,1453,2899,5.3,22,0,75,13.1
2018.04.28,00:00:00,23.59,Olympia,1256,1130,2386,9.5,24.1,0,26,13.3
2018.04.29,00:00:00,23.59,Olympia,1372,1291,2663,10.6,27.8,0,69,12.2
2018.04.30,00:00:00,23.59,Olympia,972,1029,2001,9.3,19.7,1.5,86,5.4
2018.04.01,00:00:00,23.59,Hirsch,61,61,122,3.6,9,0.9,95,1.3
2018.04.02,00:00:00,23.59,Hirsch,389,318,707,1.9,16.5,0,73,10
2018.04.03,00:00:00,23.59,Hirsch,767,738,1505,10,22.6,0,100,8
2018.04.04,00:00:00,23.59,Hirsch,812,795,1607,8.8,23.3,0,85,9.6
2018.04.05,00:00:00,23.59,Hirsch,469,540,1009,6,15.5,2.3,65,6.9
2018.04.06,00:00:00,23.59,Hirsch,659,673,1332,2.6,14.5,0,48,12.6
2018.04.07,00:00:00,23.59,Hirsch,511,417,928,3.4,20.6,0,0,12.8
2018.04.08,00:00:00,23.59,Hirsch,724,605,1329,4.6,22,0,8,12.1
2018.04.09,00:00:00,23.59,Hirsch,1042,1042,2084,8.5,24,0,91,4.9
2018.04.10,00:00:00,23.59,Hirsch,959,950,1909,9.7,19.3,0.3,91,4.6
2018.04.11,00:00:00,23.59,Hirsch,1004,1012,2016,9,19.5,0,73,10.8
2018.04.12,00:00:00,23.59,Hirsch,1004,990,1994,12.2,24.4,0,86,6.9
2018.04.13,00:00:00,23.59,Hirsch,769,812,1581,8.2,19.2,0,93,7.8
2018.04.14,00:00:00,23.59,Hirsch,454,449,903,6.6,20.3,0,66,11.5
2018.04.15,00:00:00,23.59,Hirsch,533,485,1018,7.7,19.2,0.9,98,3.4
2018.04.16,00:00:00,23.59,Hirsch,411,436,847,11.5,14.8,2.5,96,0.2
2018.04.17,00:00:00,23.59,Hirsch,1070,1080,2150,9.3,20.6,0,31,10.3
2018.04.18,00:00:00,23.59,Hirsch,1226,1213,2439,7.1,22.5,0,11,13.1
2018.04.19,00:00:00,23.59,Hirsch,1267,1231,2498,8.3,24.6,0,34,13.1
2018.04.20,00:00:00,23.59,Hirsch,1094,1097,2191,8.7,27.7,0,75,13.3
2018.04.21,00:00:00,23.59,Hirsch,711,674,1385,10.5,27.2,0,60,13.1
2018.04.22,00:00:00,23.59,Hirsch,706,658,1364,10.9,27.6,0,50,12
2018.04.23,00:00:00,23.59,Hirsch,868,898,1766,13.3,25,0.2,96,5.3
2018.04.24,00:00:00,23.59,Hirsch,1046,1063,2109,12.5,22.8,0,91,10.2
2018.04.25,00:00:00,23.59,Hirsch,1077,1174,2251,11.9,24.6,1,68,10.7
2018.04.26,00:00:00,23.59,Hirsch,628,634,1262,7.4,13.4,0.1,95,1
2018.04.27,00:00:00,23.59,Hirsch,1004,1058,2062,5.3,22,0,75,13.1
2018.04.28,00:00:00,23.59,Hirsch,555,545,1100,9.5,24.1,0,26,13.3
2018.04.29,00:00:00,23.59,Hirsch,678,547,1225,10.6,27.8,0,69,12.2
2018.04.30,00:00:00,23.59,Hirsch,549,562,1111,9.3,19.7,1.5,86,5.4
2018.04.01,00:00:00,23.59,Margareten,241,236,477,3.6,9,0.9,95,1.3
2018.04.02,00:00:00,23.59,Margareten,828,713,1541,1.9,16.5,0,73,10
2018.04.03,00:00:00,23.59,Margareten,1547,1485,3032,10,22.6,0,100,8
2018.04.04,00:00:00,23.59,Margareten,1714,1656,3370,8.8,23.3,0,85,9.6
2018.04.05,00:00:00,23.59,Margareten,1259,1237,2496,6,15.5,2.3,65,6.9
2018.04.06,00:00:00,23.59,Margareten,1587,1555,3142,2.6,14.5,0,48,12.6
2018.04.07,00:00:00,23.59,Margareten,1606,1522,3128,3.4,20.6,0,0,12.8
2018.04.08,00:00:00,23.59,Margareten,1780,1565,3345,4.6,22,0,8,12.1
2018.04.09,00:00:00,23.59,Margareten,2140,2075,4215,8.5,24,0,91,4.9
2018.04.10,00:00:00,23.59,Margareten,2116,2035,4151,9.7,19.3,0.3,91,4.6
2018.04.11,00:00:00,23.59,Margareten,2417,2301,4718,9,19.5,0,73,10.8
2018.04.12,00:00:00,23.59,Margareten,2265,2157,4422,12.2,24.4,0,86,6.9
2018.04.13,00:00:00,23.59,Margareten,1851,1898,3749,8.2,19.2,0,93,7.8
2018.04.14,00:00:00,23.59,Margareten,1878,1736,3614,6.6,20.3,0,66,11.5
2018.04.15,00:00:00,23.59,Margareten,1444,1285,2729,7.7,19.2,0.9,98,3.4
2018.04.16,00:00:00,23.59,Margareten,1000,990,1990,11.5,14.8,2.5,96,0.2
2018.04.17,00:00:00,23.59,Margareten,2332,2277,4609,9.3,20.6,0,31,10.3
2018.04.18,00:00:00,23.59,Margareten,2486,2422,4908,7.1,22.5,0,11,13.1
2018.04.19,00:00:00,23.59,Margareten,2550,2523,5073,8.3,24.6,0,34,13.1
2018.04.20,00:00:00,23.59,Margareten,2511,2458,4969,8.7,27.7,0,75,13.3
2018.04.21,00:00:00,23.59,Margareten,2332,2117,4449,10.5,27.2,0,60,13.1
2018.04.22,00:00:00,23.59,Margareten,1894,1723,3617,10.9,27.6,0,50,12
2018.04.23,00:00:00,23.59,Margareten,2027,1981,4008,13.3,25,0.2,96,5.3
