datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2018.10.01,00:00:00,23.59,Arnulf,645,65,710,7.2,13.4,10.9,98,0.3
2018.10.02,00:00:00,23.59,Arnulf,1409,122,1531,5.3,11.8,0,95,3.9
2018.10.03,00:00:00,23.59,Arnulf,600,65,665,9.1,14.5,0,96,0.5
2018.10.04,00:00:00,23.59,Arnulf,1689,122,1811,5.8,17.2,0,11,10
2018.10.05,00:00:00,23.59,Arnulf,1743,128,1871,4.9,20.8,0,41,11.1
2018.10.06,00:00:00,23.59,Arnulf,1036,96,1132,8.3,23.2,0.4,96,7.3
2018.10.07,00:00:00,23.59,Arnulf,724,71,795,11.2,20.9,0,85,1
2018.10.08,00:00:00,23.59,Arnulf,1620,117,1737,9.4,18.4,0,55,4.2
2018.10.09,00:00:00,23.59,Arnulf,1717,113,1830,9.9,18.4,0,71,3
2018.10.10,00:00:00,23.59,Arnulf,1755,119,1874,10.5,20.6,0,41,7.5
2018.10.11,00:00:00,23.59,Arnulf,1850,133,1983,8.6,25.1,0,29,10
2018.10.12,00:00:00,23.59,Arnulf,1748,111,1859,11,24.6,0,20,10.3
2018.10.13,00:00:00,23.59,Arnulf,1074,48,1122,8.6,22.3,0,0,10.6
2018.10.14,00:00:00,23.59,Arnulf,1027,85,1112,8.1,25,0,0,10.5
2018.10.15,00:00:00,23.59,Arnulf,1808,130,1938,7.5,23.2,0,0,10
2018.10.16,00:00:00,23.59,Arnulf,1906,130,2036,7.7,22.2,0,5,10.1
2018.10.17,00:00:00,23.59,Arnulf,1801,101,1902,7.1,20.9,0,3,10.1
2018.10.18,00:00:00,23.59,Arnulf,1822,137,1959,6.3,19.4,0,73,9.4
2018.10.19,00:00:00,23.59,Arnulf,1580,120,1700,6.6,17.4,0,51,5
2018.10.20,00:00:00,23.59,Arnulf,963,74,1037,6.3,15.5,0,81,3.4
2018.10.21,00:00:00,23.59,Arnulf,834,72,906,3.9,14.5,0,46,7.7
2018.10.22,00:00:00,23.59,Arnulf,1528,101,1629,2,13.4,0,31,9.9
2018.10.23,00:00:00,23.59,Arnulf,1514,107,1621,7.2,13.5,0.2,99,1
2018.10.24,00:00:00,23.59,Arnulf,953,90,1043,10.2,12.8,3.7,98,0
2018.10.25,00:00:00,23.59,Arnulf,1362,105,1467,10.1,15.4,0,88,4.3
2018.10.26,00:00:00,23.59,Arnulf,1402,123,1525,7.2,17.4,0,79,6.8
2018.10.27,00:00:00,23.59,Arnulf,214,13,227,3.4,8.8,24.5,95,0
2018.10.28,00:00:00,23.59,Arnulf,195,25,220,2,4.3,4.4,98,0
2018.10.29,00:00:00,23.59,Arnulf,933,67,1000,3.2,15.1,1.5,94,0.2
2018.10.30,00:00:00,23.59,Arnulf,1235,92,1327,2,15.5,0,51,1.8
2018.10.31,00:00:00,23.59,Arnulf,1192,102,1294,1.2,12.3,0,81,3.8
2018.10.01,00:00:00,23.59,Kreuther,54,77,131,7.2,13.4,10.9,98,0.3
2018.10.02,00:00:00,23.59,Kreuther,114,209,323,5.3,11.8,0,95,3.9
2018.10.03,00:00:00,23.59,Kreuther,36,65,101,9.1,14.5,0,96,0.5
2018.10.04,00:00:00,23.59,Kreuther,142,200,342,5.8,17.2,0,11,10
2018.10.05,00:00:00,23.59,Kreuther,116,189,305,4.9,20.8,0,41,11.1
2018.10.06,00:00:00,23.59,Kreuther,76,127,203,8.3,23.2,0.4,96,7.3
2018.10.07,00:00:00,23.59,Kreuther,60,112,172,11.2,20.9,0,85,1
2018.10.08,00:00:00,23.59,Kreuther,163,257,420,9.4,18.4,0,55,4.2
2018.10.09,00:00:00,23.59,Kreuther,175,245,420,9.9,18.4,0,71,3
2018.10.10,00:00:00,23.59,Kreuther,178,254,432,10.5,20.6,0,41,7.5
2018.10.11,00:00:00,23.59,Kreuther,185,269,454,8.6,25.1,0,29,10
2018.10.12,00:00:00,23.59,Kreuther,158,236,394,11,24.6,0,20,10.3
2018.10.13,00:00:00,23.59,Kreuther,91,197,288,8.6,22.3,0,0,10.6
2018.10.14,00:00:00,23.59,Kreuther,107,195,302,8.1,25,0,0,10.5
2018.10.15,00:00:00,23.59,Kreuther,186,253,439,7.5,23.2,0,0,10
