Year,Monat,Rail transport
2018,1,102.7952868
2018,2,102.1879583
2018,3,103.6645377
2018,4,102.26060509999999
2018,5,101.9546208
2018,6,105.41039070000001
2018,7,102.17598509999999
2018,8,103.9537538
2018,9,104.94675349999999
2018,10,103.5380953
2018,11,105.22559129999999
2018,12,102.20565140000001
