Year,Monat,Rail transport
2020,1,95.82969324
2020,2,97.30026906
2020,3,97.37936479999999
2020,4,78.85769608
2020,5,84.16806105
2020,6,88.73703903
2020,7,91.55500459
2020,8,94.57061773
2020,9,96.17118507
2020,10,98.63531243
2020,11,100.80055820000001
2020,12,100.60879
