Monat,Export,Year
1,98.381344,2021
2,107.755673,2021
3,127.123733,2021
4,111.888961,2021
5,109.536669,2021
6,118.682198,2021
7,115.134405,2021
8,104.506274,2021
9,117.86407,2021
10,121.389,2021
