Monat,Export,Year
1,89.700681,2015
2,95.368311,2015
3,107.648556,2015
4,100.133138,2015
5,95.390236,2015
6,105.269356,2015
7,106.73187,2015
8,87.7344,2015
9,105.445722,2015
10,105.827743,2015
11,102.684042,2015
12,91.621033,2015
