Monat,Export,Year
1,85.923959,2012
2,91.008782,2012
3,98.47085,2012
4,87.00930600000001,2012
5,92.445356,2012
6,94.038175,2012
7,93.098376,2012
8,89.896091,2012
9,91.091169,2012
10,98.083005,2012
11,93.345263,2012
12,78.21703000000001,2012
