Monat,Export,Year
1,106.631,2020
2,109.163,2020
3,108.932,2020
4,75.729,2020
5,80.215,2020
6,96.029,2020
7,102.328,2020
8,91.259,2020
9,109.835,2020
10,112.096,2020
11,111.731952,2020
12,101.211694,2020
