Year,Monat,Road transport
2019,1,101.66629640000001
2019,2,100.86647409999999
2019,3,101.48855809999999
2019,4,100.4221284
2019,5,99.26682959
2019,6,100.155521
2019,7,100.155521
2019,8,99.08909131
2019,9,98.64474561
2019,10,99.26682959
2019,11,99.71117529
2019,12,99.26682959
