Year,Monat,Road transport
2021,1,102.3035331
2021,2,100.2592401
2021,3,105.0588845
2021,4,103.3701207
2021,5,103.1923561
2021,6,103.9034146
2021,7,102.4812977
2021,8,100.3481224
2021,9,100.4370047
2021,10,102.0368862
2021,11,103.3701207
