Year,Monat,Road transport
2016,1,91.35747612
2016,2,92.24616752
2016,3,91.80182182
2016,4,92.4239058
2016,5,91.62408354
2016,6,91.62408354
2016,7,91.71295268
2016,8,92.60164408
2016,9,92.51277494
2016,10,93.84581204
2016,11,94.29015774
2016,12,93.31259720000001
