Year,Monat,Road transport
2020,1,101.13308149999999
2020,2,102.8215952
2020,3,97.04510109
2020,4,86.55854255
2020,5,92.15729838
2020,6,96.42301711
2020,7,98.28926905
2020,8,99.35569873
2020,9,99.97778271
2020,10,100.24439009999999
2020,11,101.2219507
2020,12,105.6654077
