Year,Monat,Inland waterways transport
2021,1,99.8614906
2021,2,84.17907805
2021,3,99.38678065
2021,4,98.82291154
2021,5,97.54346741
2021,6,102.1498189
2021,7,82.7181148
2021,8,90.18010464
2021,9,92.37118951
2021,10,102.393861
2021,11,122.2697762
