Year,Monat,Inland waterways transport
2019,1,100.6186284
2019,2,107.77506470000002
2019,3,107.36440490000001
2019,4,104.48750129999999
2019,5,110.53318490000002
2019,6,99.3576489
2019,7,96.95220075
2019,8,94.35679238
2019,9,92.65161502
2019,10,97.34728790000001
2019,11,93.58973927
2019,12,98.13219639
