Monat,Import,Year
1,83.686734,2017
2,82.14914499999999,2017
3,92.820032,2017
4,82.784362,2017
5,88.429651,2017
6,84.833179,2017
7,84.09695,2017
8,82.69583399999999,2017
9,86.104453,2017
10,88.867041,2017
11,92.435711,2017
12,82.109641,2017
