Monat,Import,Year
1,89.542683,2018
2,86.106277,2018
3,91.063201,2018
4,89.867405,2018
5,89.04213299999999,2018
6,93.371617,2018
7,94.602168,2018
8,87.746975,2018
9,90.970794,2018
10,98.544666,2018
11,96.111092,2018
12,81.751397,2018
