Monat,Import,Year
1,92.918,2020
2,88.882,2020
3,91.707,2020
4,72.281,2020
5,73.262,2020
6,80.635,2020
7,83.112,2020
8,79.406,2020
9,89.249,2020
10,92.732,2020
11,94.57829509,2020
12,86.096028,2020
