Monat,Import,Year
1,55.080817,2010
2,56.770051,2010
3,69.33506,2010
4,62.189163,2010
5,66.048866,2010
6,71.19968,2010
7,68.38372199999999,2010
8,64.937957,2010
9,69.498912,2010
10,71.483664,2010
11,73.74028,2010
12,68.42868399999999,2010
