Monat,Import,Year
1,69.388862,2011
2,72.446865,2011
3,79.785477,2011
4,73.674669,2011
5,77.518623,2011
6,75.190853,2011
7,75.016891,2011
8,73.515609,2011
9,77.650175,2011
10,78.05483100000001,2011
11,77.994747,2011
12,72.28523,2011
