Monat,Import,Year
1,94.206,2019
2,91.087,2019
3,95.84200000000001,2019
4,92.139,2019
5,93.499,2019
6,89.531,2019
7,93.66,2019
8,85.116,2019
9,92.97200000000001,2019
10,98.44200000000001,2019
11,94.713,2019
12,82.93299999999999,2019
