Monat,Import,Year
1,56.154314,2009
2,55.01826,2009
3,58.763141000000005,2009
4,54.335268000000006,2009
5,50.325592,2009
6,53.172895,2009
7,54.9857,2009
8,51.089512,2009
9,59.412227,2009
10,59.994158,2009
11,56.332975,2009
12,55.03085,2009
