Monat,Import,Year
1,72.084817,2012
2,75.22085600000001,2012
3,80.87831800000001,2012
4,72.366136,2012
5,76.45772,2012
6,75.82468,2012
7,75.634142,2012
8,72.900837,2012
9,74.04988,2012
10,81.800413,2012
11,76.195403,2012
12,65.991776,2012
