Monat,Import,Year
1,75.26566,2016
2,79.448149,2016
3,81.00699499999999,2016
4,78.756672,2016
5,76.271586,2016
6,82.052319,2016
7,76.96517800000001,2016
8,76.63438000000001,2016
9,81.85437399999999,2016
10,82.227189,2016
11,85.658251,2016
12,78.776636,2016
