Year,Monat,Air transport
2016,1,92.74131197
2016,2,94.64068423
2016,3,90.41273564
2016,4,97.58101183
2016,5,92.81804749
2016,6,95.65045322
2016,7,94.17294234
2016,8,95.10961194
2016,9,97.29510586
2016,10,97.21279414
2016,11,96.21250542
2016,12,101.93072790000001
