Year,Monat,Air transport
2020,1,95.20494556
2020,2,96.85873708
2020,3,89.07014883
2020,4,87.20405743
2020,5,91.4891522
2020,6,91.1946985
2020,7,94.06960182
2020,8,96.01850879999999
2020,9,98.59470644
2020,10,99.13466763
2020,11,100.82
