Year,Monat,Air transport
2021,1,109.4047565
2021,2,110.8711172
2021,3,110.9136919
2021,4,116.1914984
2021,5,114.1333203
2021,6,113.5070825
2021,7,111.8476856
2021,8,110.9410147
2021,9,111.2861566
2021,10,111.9839313
2021,11,108.8471243
