Year,Monat,Air transport
2017,1,99.24758664
2017,2,98.14282534
2017,3,101.3817964
2017,4,99.62455781
2017,5,101.6684685
2017,6,102.3543973
2017,7,102.9032988
2017,8,103.87725470000001
2017,9,103.28502490000001
2017,10,101.2776321
2017,11,104.3206222
2017,12,104.1121713
