datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2019.04.01,00:00:00,23.59,Arnulf,1485,107,1592,5.3,15.9,0,21,11.3
2019.04.02,00:00:00,23.59,Arnulf,1669,100,1769,3.9,21.3,0,95,9.2
2019.04.03,00:00:00,23.59,Arnulf,1607,103,1710,4.8,20.9,0,84,6.5
2019.04.04,00:00:00,23.59,Arnulf,1247,79,1326,2.9,12.2,0,84,5.8
2019.04.05,00:00:00,23.59,Arnulf,1043,95,1138,3.3,9.3,0,79,1
2019.04.06,00:00:00,23.59,Arnulf,717,41,758,5.2,16.8,0,79,8.4
2019.04.07,00:00:00,23.59,Arnulf,800,50,850,5,16.5,0,79,9.1
2019.04.08,00:00:00,23.59,Arnulf,1111,80,1191,8.2,11.5,0.9,99,0
2019.04.09,00:00:00,23.59,Arnulf,1308,110,1418,8.5,16.6,0,95,3.2
2019.04.10,00:00:00,23.59,Arnulf,1149,89,1238,8,12,1.1,96,0
2019.04.11,00:00:00,23.59,Arnulf,1243,101,1344,4.6,10.9,0,99,0.7
2019.04.12,00:00:00,23.59,Arnulf,1166,90,1256,2.4,8.5,0,100,0
2019.04.13,00:00:00,23.59,Arnulf,572,39,611,2.6,11.1,0,98,5.8
2019.04.14,00:00:00,23.59,Arnulf,402,43,445,3.2,9.7,0,99,2.8
2019.04.15,00:00:00,23.59,Arnulf,1328,122,1450,5,14.8,0,46,7.7
2019.04.16,00:00:00,23.59,Arnulf,1567,112,1679,2.5,18.7,0,50,10.3
2019.04.17,00:00:00,23.59,Arnulf,1600,111,1711,7,19,0,71,13.2
2019.04.18,00:00:00,23.59,Arnulf,1510,96,1606,4.9,20.5,0,16,13.1
2019.04.19,00:00:00,23.59,Arnulf,747,38,785,5.5,22.3,0,0,13.5
2019.04.20,00:00:00,23.59,Arnulf,823,51,874,5.9,22.4,0,0,13.6
2019.04.21,00:00:00,23.59,Arnulf,585,24,609,4.6,23.2,0,0,13.6
